fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,Id,Acid_Ratio,Sulfur_Ratio,Sugar_Alcohol_Ratio,Total_Acidity,pH_Category,Alcohol_Sulphates_Interaction
7.8,0.645,0.0,2.0,0.0819999999999999,8.0,16.0,0.9964,3.38,0.59,9.8,6,29,0.08269230769230769,0.5,0.2040816326530612,8.445,Low,5.782
6.7,0.675,0.07,2.4,0.089,17.0,82.0,0.9958,3.35,0.54,10.1,5,30,0.10074626865671642,0.2073170731707317,0.2376237623762376,7.445,Low,5.454
8.3,0.655,0.12,2.3,0.083,15.0,113.0,0.9966,3.17,0.66,9.8,5,32,0.0789156626506024,0.13274336283185842,0.23469387755102036,9.075,Low,6.468000000000001
5.2,0.32,0.25,1.8,0.103,13.0,50.0,0.9957,3.38,0.55,9.2,5,34,0.061538461538461535,0.26,0.1956521739130435,5.7700000000000005,Low,5.06
7.8,0.645,0.0,5.5,0.086,5.0,18.0,0.9986,3.4,0.55,9.6,6,35,0.08269230769230769,0.2777777777777778,0.5729166666666667,8.445,Low,5.28
7.8,0.6,0.14,2.4,0.086,3.0,15.0,0.9975,3.42,0.6,10.8,6,36,0.07692307692307693,0.2,0.2222222222222222,8.540000000000001,Moderate,6.48
8.1,0.38,0.28,2.1,0.066,13.0,30.0,0.9968,3.23,0.73,9.7,7,37,0.04691358024691358,0.43333333333333335,0.21649484536082478,8.76,Low,7.0809999999999995
7.3,0.45,0.36,5.9,0.074,12.0,87.0,0.9978,3.33,0.83,10.5,5,40,0.06164383561643836,0.13793103448275862,0.5619047619047619,8.11,Low,8.715
8.8,0.61,0.3,2.8,0.088,17.0,46.0,0.9976,3.26,0.51,9.3,4,41,0.0693181818181818,0.3695652173913043,0.30107526881720426,9.71,Low,4.743
7.5,0.49,0.2,2.6,0.332,8.0,14.0,0.9968,3.21,0.9,10.5,6,42,0.06533333333333333,0.5714285714285714,0.24761904761904763,8.19,Low,9.450000000000001
8.1,0.66,0.22,2.2,0.069,9.0,23.0,0.9968,3.3,1.2,10.3,5,43,0.08148148148148149,0.391304347826087,0.21359223300970875,8.98,Low,12.360000000000001
4.6,0.52,0.15,2.1,0.054,8.0,65.0,0.9934,3.9,0.56,13.1,4,45,0.11304347826086958,0.12307692307692308,0.1603053435114504,5.27,Moderate,7.336
7.7,0.935,0.43,2.2,0.114,22.0,114.0,0.997,3.25,0.73,9.2,5,46,0.12142857142857143,0.19298245614035087,0.23913043478260873,9.065,Low,6.715999999999999
8.8,0.66,0.26,1.7,0.074,4.0,23.0,0.9971,3.15,0.74,9.2,5,50,0.075,0.17391304347826086,0.1847826086956522,9.72,Low,6.808
6.6,0.52,0.04,2.2,0.069,8.0,15.0,0.9956,3.4,0.63,9.4,6,51,0.0787878787878788,0.5333333333333333,0.23404255319148937,7.159999999999999,Low,5.922000000000001
6.6,0.5,0.04,2.1,0.068,6.0,14.0,0.9955,3.39,0.64,9.4,6,52,0.07575757575757576,0.42857142857142855,0.22340425531914893,7.14,Low,6.016
8.6,0.38,0.36,3.0,0.081,30.0,119.0,0.997,3.2,0.56,9.4,5,53,0.044186046511627906,0.25210084033613445,0.3191489361702127,9.34,Low,5.264000000000001
7.6,0.51,0.15,2.8,0.11,33.0,73.0,0.9955,3.17,0.63,10.2,6,54,0.06710526315789474,0.4520547945205479,0.27450980392156865,8.26,Low,6.425999999999999
10.2,0.42,0.57,3.4,0.07,4.0,10.0,0.9971,3.04,0.63,9.6,5,56,0.041176470588235294,0.4,0.3541666666666667,11.19,Low,6.048
7.8,0.59,0.18,2.3,0.076,17.0,54.0,0.9975,3.43,0.59,10.0,5,58,0.07564102564102564,0.3148148148148148,0.22999999999999998,8.57,Moderate,5.8999999999999995
7.3,0.39,0.31,2.4,0.074,9.0,46.0,0.9962,3.41,0.54,9.4,6,59,0.05342465753424658,0.1956521739130435,0.2553191489361702,7.999999999999999,Moderate,5.0760000000000005
8.8,0.4,0.4,2.2,0.079,19.0,52.0,0.998,3.44,0.64,9.2,5,60,0.045454545454545456,0.36538461538461536,0.23913043478260873,9.600000000000001,Moderate,5.888
7.7,0.69,0.49,1.8,0.115,20.0,112.0,0.9968,3.21,0.71,9.3,5,61,0.0896103896103896,0.17857142857142858,0.1935483870967742,8.88,Low,6.603
7.0,0.735,0.05,2.0,0.081,13.0,54.0,0.9966,3.39,0.57,9.8,5,63,0.105,0.24074074074074073,0.2040816326530612,7.785,Low,5.586
7.2,0.725,0.05,4.65,0.086,4.0,11.0,0.9962,3.41,0.39,10.9,5,64,0.10069444444444443,0.36363636363636365,0.42660550458715596,7.975,Moderate,4.251
7.2,0.725,0.05,4.65,0.086,4.0,11.0,0.9962,3.41,0.39,10.9,5,65,0.10069444444444443,0.36363636363636365,0.42660550458715596,7.975,Moderate,4.251
6.6,0.705,0.07,1.6,0.076,6.0,15.0,0.9962,3.44,0.58,10.7,5,67,0.10681818181818181,0.4,0.14953271028037385,7.375,Moderate,6.2059999999999995
8.0,0.705,0.05,1.9,0.074,8.0,19.0,0.9962,3.34,0.95,10.5,6,69,0.088125,0.42105263157894735,0.18095238095238095,8.755,Low,9.975
7.7,0.69,0.22,1.9,0.084,18.0,94.0,0.9961,3.31,0.48,9.5,5,72,0.0896103896103896,0.19148936170212766,0.19999999999999998,8.610000000000001,Low,4.56
8.3,0.675,0.26,2.1,0.084,11.0,43.0,0.9976,3.31,0.53,9.2,4,73,0.08132530120481928,0.2558139534883721,0.2282608695652174,9.235000000000001,Low,4.8759999999999994
8.8,0.41,0.64,2.2,0.093,9.0,42.0,0.9986,3.54,0.66,10.5,5,76,0.046590909090909086,0.21428571428571427,0.20952380952380953,9.850000000000001,Moderate,6.930000000000001
6.8,0.785,0.0,2.4,0.104,14.0,30.0,0.9966,3.52,0.55,10.7,6,77,0.11544117647058824,0.4666666666666667,0.22429906542056074,7.585,Moderate,5.885
6.7,0.75,0.12,2.0,0.086,12.0,80.0,0.9958,3.38,0.52,10.1,5,78,0.11194029850746269,0.15,0.19801980198019803,7.57,Low,5.252
8.3,0.625,0.2,1.5,0.08,27.0,119.0,0.9972,3.16,1.12,9.1,4,79,0.0753012048192771,0.226890756302521,0.16483516483516483,9.125,Low,10.192
6.2,0.45,0.2,1.6,0.069,3.0,15.0,0.9958,3.41,0.56,9.2,5,80,0.07258064516129033,0.2,0.1739130434782609,6.8500000000000005,Moderate,5.152
7.4,0.5,0.47,2.0,0.086,21.0,73.0,0.997,3.36,0.57,9.1,5,82,0.06756756756756756,0.2876712328767123,0.21978021978021978,8.370000000000001,Low,5.186999999999999
6.3,0.3,0.48,1.8,0.069,18.0,61.0,0.9959,3.44,0.78,10.3,6,84,0.047619047619047616,0.29508196721311475,0.17475728155339806,7.08,Moderate,8.034
6.9,0.55,0.15,2.2,0.076,19.0,40.0,0.9961,3.41,0.59,10.1,5,85,0.07971014492753624,0.475,0.21782178217821785,7.6000000000000005,Moderate,5.959
8.6,0.49,0.28,1.9,0.11,20.0,136.0,0.9972,2.93,1.95,9.9,6,86,0.056976744186046514,0.14705882352941177,0.1919191919191919,9.37,Very Low,19.305
7.7,0.49,0.26,1.9,0.062,9.0,31.0,0.9966,3.39,0.64,9.6,5,87,0.06363636363636363,0.2903225806451613,0.19791666666666666,8.45,Low,6.144
9.3,0.39,0.44,2.1,0.107,34.0,125.0,0.9978,3.14,1.22,9.5,5,88,0.04193548387096774,0.272,0.2210526315789474,10.13,Low,11.59
7.0,0.62,0.08,1.8,0.076,8.0,24.0,0.9978,3.48,0.53,9.0,5,89,0.08857142857142856,0.3333333333333333,0.2,7.7,Moderate,4.7700000000000005
7.9,0.52,0.26,1.9,0.079,42.0,140.0,0.9964,3.23,0.54,9.5,5,90,0.06582278481012659,0.3,0.19999999999999998,8.68,Low,5.130000000000001
8.6,0.49,0.28,1.9,0.11,20.0,136.0,0.9972,2.93,1.95,9.9,6,91,0.056976744186046514,0.14705882352941177,0.1919191919191919,9.37,Very Low,19.305
7.7,0.49,0.26,1.9,0.062,9.0,31.0,0.9966,3.39,0.64,9.6,5,93,0.06363636363636363,0.2903225806451613,0.19791666666666666,8.45,Low,6.144
5.0,1.02,0.04,1.4,0.045,41.0,85.0,0.9938,3.75,0.48,10.5,4,94,0.20400000000000001,0.4823529411764706,0.13333333333333333,6.06,Moderate,5.04
6.8,0.775,0.0,3.0,0.102,8.0,23.0,0.9965,3.45,0.56,10.7,5,96,0.11397058823529413,0.34782608695652173,0.28037383177570097,7.575,Moderate,5.992
7.6,0.9,0.06,2.5,0.079,5.0,10.0,0.9967,3.39,0.56,9.8,5,98,0.11842105263157895,0.5,0.25510204081632654,8.56,Low,5.488000000000001
8.1,0.545,0.18,1.9,0.08,13.0,35.0,0.9972,3.3,0.59,9.0,6,99,0.06728395061728396,0.37142857142857144,0.2111111111111111,8.825,Low,5.31
8.3,0.61,0.3,2.1,0.084,11.0,50.0,0.9972,3.4,0.61,10.2,6,100,0.07349397590361445,0.22,0.2058823529411765,9.21,Low,6.2219999999999995
8.1,0.545,0.18,1.9,0.08,13.0,35.0,0.9972,3.3,0.59,9.0,6,102,0.06728395061728396,0.37142857142857144,0.2111111111111111,8.825,Low,5.31
8.1,0.575,0.22,2.1,0.077,12.0,65.0,0.9967,3.29,0.51,9.2,5,103,0.07098765432098765,0.18461538461538463,0.2282608695652174,8.895,Low,4.691999999999999
7.2,0.49,0.24,2.2,0.07,5.0,36.0,0.996,3.33,0.48,9.4,5,104,0.06805555555555555,0.1388888888888889,0.23404255319148937,7.930000000000001,Low,4.512
8.1,0.575,0.22,2.1,0.077,12.0,65.0,0.9967,3.29,0.51,9.2,5,105,0.07098765432098765,0.18461538461538463,0.2282608695652174,8.895,Low,4.691999999999999
7.8,0.41,0.68,1.7,0.467,18.0,69.0,0.9973,3.08,1.31,9.3,5,106,0.052564102564102565,0.2608695652173913,0.18279569892473116,8.889999999999999,Low,12.183000000000002
6.2,0.63,0.31,1.7,0.088,15.0,64.0,0.9969,3.46,0.79,9.3,5,107,0.10161290322580645,0.234375,0.18279569892473116,7.14,Moderate,7.347000000000001
7.8,0.56,0.19,1.8,0.104,12.0,47.0,0.9964,3.19,0.93,9.5,5,110,0.0717948717948718,0.2553191489361702,0.18947368421052632,8.549999999999999,Low,8.835
8.4,0.62,0.09,2.2,0.084,11.0,108.0,0.9964,3.15,0.66,9.8,5,111,0.07380952380952381,0.10185185185185185,0.22448979591836735,9.11,Low,6.468000000000001
10.1,0.31,0.44,2.3,0.08,22.0,46.0,0.9988,3.32,0.67,9.7,6,113,0.030693069306930693,0.4782608695652174,0.23711340206185566,10.85,Low,6.499
7.8,0.56,0.19,1.8,0.104,12.0,47.0,0.9964,3.19,0.93,9.5,5,114,0.0717948717948718,0.2553191489361702,0.18947368421052632,8.549999999999999,Low,8.835
9.4,0.4,0.31,2.2,0.09,13.0,62.0,0.9966,3.07,0.63,10.5,6,115,0.0425531914893617,0.20967741935483872,0.20952380952380953,10.110000000000001,Low,6.615
8.3,0.54,0.28,1.9,0.077,11.0,40.0,0.9978,3.39,0.61,10.0,6,116,0.06506024096385542,0.275,0.19,9.12,Low,6.1
7.3,1.07,0.09,1.7,0.178,10.0,89.0,0.9962,3.3,0.57,9.0,5,120,0.14657534246575343,0.11235955056179775,0.18888888888888888,8.459999999999999,Low,5.13
8.8,0.55,0.04,2.2,0.119,14.0,56.0,0.9962,3.21,0.6,10.9,6,121,0.0625,0.25,0.2018348623853211,9.39,Low,6.54
7.3,0.695,0.0,2.5,0.075,3.0,13.0,0.998,3.49,0.52,9.2,5,122,0.09520547945205479,0.23076923076923078,0.27173913043478265,7.995,Moderate,4.784
7.8,0.5,0.17,1.6,0.0819999999999999,21.0,102.0,0.996,3.39,0.48,9.5,5,124,0.06410256410256411,0.20588235294117646,0.16842105263157894,8.47,Low,4.56
8.2,1.33,0.0,1.7,0.081,3.0,12.0,0.9964,3.53,0.49,10.9,5,126,0.16219512195121955,0.25,0.15596330275229356,9.53,Moderate,5.341
8.1,1.33,0.0,1.8,0.0819999999999999,3.0,12.0,0.9964,3.54,0.48,10.9,5,127,0.16419753086419756,0.25,0.1651376146788991,9.43,Moderate,5.232
8.0,0.59,0.16,1.8,0.065,3.0,16.0,0.9962,3.42,0.92,10.5,7,128,0.07375,0.1875,0.17142857142857143,8.75,Moderate,9.66
8.0,0.745,0.56,2.0,0.118,30.0,134.0,0.9968,3.24,0.66,9.4,5,130,0.093125,0.22388059701492538,0.2127659574468085,9.305,Low,6.204000000000001
5.6,0.5,0.09,2.3,0.049,17.0,99.0,0.9937,3.63,0.63,13.0,5,131,0.08928571428571429,0.1717171717171717,0.1769230769230769,6.1899999999999995,Moderate,8.19
7.9,1.04,0.05,2.2,0.084,13.0,29.0,0.9959,3.22,0.55,9.9,6,134,0.13164556962025317,0.4482758620689655,0.22222222222222224,8.990000000000002,Low,5.445
8.4,0.745,0.11,1.9,0.09,16.0,63.0,0.9965,3.19,0.82,9.6,5,135,0.08869047619047618,0.25396825396825395,0.19791666666666666,9.254999999999999,Low,7.871999999999999
7.2,0.415,0.36,2.0,0.081,13.0,45.0,0.9972,3.48,0.64,9.2,5,137,0.057638888888888885,0.28888888888888886,0.2173913043478261,7.9750000000000005,Moderate,5.888
8.4,0.745,0.11,1.9,0.09,16.0,63.0,0.9965,3.19,0.82,9.6,5,140,0.08869047619047618,0.25396825396825395,0.19791666666666666,9.254999999999999,Low,7.871999999999999
5.2,0.34,0.0,1.8,0.05,27.0,63.0,0.9916,3.68,0.79,14.0,6,142,0.06538461538461539,0.42857142857142855,0.1285714285714286,5.54,Moderate,11.06
6.3,0.39,0.08,1.7,0.066,3.0,20.0,0.9954,3.34,0.58,9.4,5,143,0.06190476190476191,0.15,0.18085106382978722,6.77,Low,5.452
5.2,0.34,0.0,1.8,0.05,27.0,63.0,0.9916,3.68,0.79,14.0,6,144,0.06538461538461539,0.42857142857142855,0.1285714285714286,5.54,Moderate,11.06
8.1,0.67,0.55,1.8,0.1169999999999999,32.0,141.0,0.9968,3.17,0.62,9.4,5,145,0.08271604938271605,0.22695035460992907,0.19148936170212766,9.32,Low,5.828
5.8,0.68,0.02,1.8,0.087,21.0,94.0,0.9944,3.54,0.52,10.0,5,146,0.11724137931034484,0.22340425531914893,0.18,6.499999999999999,Moderate,5.2
6.9,0.49,0.1,2.3,0.074,12.0,30.0,0.9959,3.42,0.58,10.2,6,148,0.07101449275362319,0.4,0.22549019607843138,7.49,Moderate,5.9159999999999995
7.3,0.33,0.47,2.1,0.077,5.0,11.0,0.9958,3.33,0.53,10.3,6,150,0.045205479452054796,0.45454545454545453,0.20388349514563106,8.1,Low,5.4590000000000005
9.2,0.52,1.0,3.4,0.61,32.0,69.0,0.9996,2.74,2.0,9.4,4,151,0.05652173913043479,0.463768115942029,0.36170212765957444,10.719999999999999,Very Low,18.8
7.5,0.6,0.03,1.8,0.095,25.0,99.0,0.995,3.35,0.54,10.1,5,152,0.08,0.25252525252525254,0.17821782178217824,8.129999999999999,Low,5.454
7.5,0.6,0.03,1.8,0.095,25.0,99.0,0.995,3.35,0.54,10.1,5,153,0.08,0.25252525252525254,0.17821782178217824,8.129999999999999,Low,5.454
7.1,0.43,0.42,5.5,0.071,28.0,128.0,0.9973,3.42,0.71,10.5,5,155,0.06056338028169014,0.21875,0.5238095238095238,7.949999999999999,Moderate,7.455
7.1,0.43,0.42,5.5,0.07,29.0,129.0,0.9973,3.42,0.72,10.5,5,156,0.06056338028169014,0.2248062015503876,0.5238095238095238,7.949999999999999,Moderate,7.56
7.1,0.43,0.42,5.5,0.071,28.0,128.0,0.9973,3.42,0.71,10.5,5,157,0.06056338028169014,0.21875,0.5238095238095238,7.949999999999999,Moderate,7.455
7.1,0.68,0.0,2.2,0.073,12.0,22.0,0.9969,3.48,0.5,9.3,5,158,0.09577464788732395,0.5454545454545454,0.23655913978494625,7.779999999999999,Moderate,4.65
6.8,0.6,0.18,1.9,0.079,18.0,86.0,0.9968,3.59,0.57,9.3,6,159,0.08823529411764706,0.20930232558139536,0.2043010752688172,7.579999999999999,Moderate,5.301
7.6,0.95,0.03,2.0,0.09,7.0,20.0,0.9959,3.2,0.56,9.6,5,160,0.125,0.35,0.20833333333333334,8.579999999999998,Low,5.376
7.6,0.68,0.02,1.3,0.072,9.0,20.0,0.9965,3.17,1.08,9.2,4,161,0.08947368421052633,0.45,0.14130434782608697,8.299999999999999,Low,9.936
7.8,0.53,0.04,1.7,0.076,17.0,31.0,0.9964,3.33,0.56,10.0,6,162,0.06794871794871796,0.5483870967741935,0.16999999999999998,8.37,Low,5.6000000000000005
7.4,0.6,0.26,7.3,0.07,36.0,121.0,0.9982,3.37,0.49,9.4,5,163,0.08108108108108107,0.2975206611570248,0.776595744680851,8.26,Low,4.606
7.3,0.59,0.26,7.2,0.07,35.0,121.0,0.9981,3.37,0.49,9.4,5,164,0.08082191780821918,0.2892561983471074,0.7659574468085106,8.15,Low,4.606
7.8,0.63,0.48,1.7,0.1,14.0,96.0,0.9961,3.19,0.62,9.5,5,165,0.08076923076923077,0.14583333333333334,0.17894736842105263,8.91,Low,5.89
6.8,0.64,0.1,2.1,0.085,18.0,101.0,0.9956,3.34,0.52,10.2,5,166,0.09411764705882353,0.1782178217821782,0.2058823529411765,7.539999999999999,Low,5.303999999999999
7.3,0.55,0.03,1.6,0.072,17.0,42.0,0.9956,3.37,0.48,9.0,4,167,0.07534246575342467,0.40476190476190477,0.17777777777777778,7.88,Low,4.32
6.8,0.63,0.07,2.1,0.089,11.0,44.0,0.9953,3.47,0.55,10.4,6,168,0.09264705882352942,0.25,0.20192307692307693,7.5,Moderate,5.720000000000001
7.9,0.885,0.03,1.8,0.0579999999999999,4.0,8.0,0.9972,3.36,0.33,9.1,4,170,0.1120253164556962,0.5,0.19780219780219782,8.815,Low,3.003
8.0,0.42,0.17,2.0,0.073,6.0,18.0,0.9972,3.29,0.61,9.2,6,172,0.0525,0.3333333333333333,0.2173913043478261,8.59,Low,5.611999999999999
7.4,0.62,0.05,1.9,0.068,24.0,42.0,0.9961,3.42,0.57,11.5,6,173,0.08378378378378377,0.5714285714285714,0.16521739130434782,8.07,Moderate,6.555
6.9,0.5,0.04,1.5,0.085,19.0,49.0,0.9958,3.35,0.78,9.5,5,175,0.07246376811594203,0.3877551020408163,0.15789473684210525,7.44,Low,7.41
7.3,0.38,0.21,2.0,0.08,7.0,35.0,0.9961,3.33,0.47,9.5,5,176,0.052054794520547946,0.2,0.21052631578947367,7.89,Low,4.465
7.5,0.52,0.42,2.3,0.087,8.0,38.0,0.9972,3.58,0.61,10.5,6,177,0.06933333333333333,0.21052631578947367,0.21904761904761902,8.44,Moderate,6.405
7.0,0.805,0.0,2.5,0.068,7.0,20.0,0.9969,3.48,0.56,9.6,5,178,0.115,0.35,0.2604166666666667,7.805,Moderate,5.376
8.8,0.61,0.14,2.4,0.067,10.0,42.0,0.9969,3.19,0.59,9.5,5,179,0.0693181818181818,0.23809523809523808,0.25263157894736843,9.55,Low,5.6049999999999995
8.8,0.61,0.14,2.4,0.067,10.0,42.0,0.9969,3.19,0.59,9.5,5,180,0.0693181818181818,0.23809523809523808,0.25263157894736843,9.55,Low,5.6049999999999995
8.9,0.61,0.49,2.0,0.27,23.0,110.0,0.9972,3.12,1.02,9.3,5,181,0.06853932584269662,0.20909090909090908,0.2150537634408602,10.0,Low,9.486
7.2,0.73,0.02,2.5,0.076,16.0,42.0,0.9972,3.44,0.52,9.3,5,182,0.10138888888888889,0.38095238095238093,0.26881720430107525,7.949999999999999,Moderate,4.836
6.8,0.61,0.2,1.8,0.077,11.0,65.0,0.9971,3.54,0.58,9.3,5,183,0.08970588235294118,0.16923076923076924,0.1935483870967742,7.61,Moderate,5.394
6.7,0.62,0.21,1.9,0.079,8.0,62.0,0.997,3.52,0.58,9.3,6,184,0.09253731343283582,0.12903225806451613,0.2043010752688172,7.53,Moderate,5.394
8.9,0.31,0.57,2.0,0.111,26.0,85.0,0.9971,3.26,0.53,9.7,5,185,0.0348314606741573,0.3058823529411765,0.2061855670103093,9.780000000000001,Low,5.141
7.4,0.39,0.48,2.0,0.0819999999999999,14.0,67.0,0.9972,3.34,0.55,9.2,5,186,0.0527027027027027,0.208955223880597,0.2173913043478261,8.27,Low,5.06
7.9,0.5,0.33,2.0,0.084,15.0,143.0,0.9968,3.2,0.55,9.5,5,188,0.06329113924050632,0.1048951048951049,0.21052631578947367,8.73,Low,5.2250000000000005
8.2,0.5,0.35,2.9,0.077,21.0,127.0,0.9976,3.23,0.62,9.4,5,190,0.06097560975609757,0.16535433070866143,0.30851063829787234,9.049999999999999,Low,5.828
6.4,0.37,0.25,1.9,0.074,21.0,49.0,0.9974,3.57,0.62,9.8,6,191,0.057812499999999996,0.42857142857142855,0.19387755102040813,7.0200000000000005,Moderate,6.0760000000000005
7.6,0.55,0.21,2.2,0.071,7.0,28.0,0.9964,3.28,0.55,9.7,5,193,0.07236842105263158,0.25,0.22680412371134023,8.360000000000001,Low,5.335
7.6,0.55,0.21,2.2,0.071,7.0,28.0,0.9964,3.28,0.55,9.7,5,194,0.07236842105263158,0.25,0.22680412371134023,8.360000000000001,Low,5.335
7.3,0.58,0.3,2.4,0.074,15.0,55.0,0.9968,3.46,0.59,10.2,5,196,0.07945205479452054,0.2727272727272727,0.23529411764705882,8.18,Moderate,6.017999999999999
11.5,0.3,0.6,2.0,0.067,12.0,27.0,0.9981,3.11,0.97,10.1,6,197,0.02608695652173913,0.4444444444444444,0.19801980198019803,12.4,Low,9.796999999999999
6.9,1.09,0.06,2.1,0.061,12.0,31.0,0.9948,3.51,0.43,11.4,4,199,0.15797101449275364,0.3870967741935484,0.18421052631578946,8.05,Moderate,4.902
9.6,0.32,0.47,1.4,0.0559999999999999,9.0,24.0,0.99695,3.22,0.82,10.3,7,200,0.03333333333333333,0.375,0.13592233009708737,10.39,Low,8.446
7.0,0.43,0.36,1.6,0.089,14.0,37.0,0.99615,3.34,0.56,9.2,6,204,0.06142857142857143,0.3783783783783784,0.1739130434782609,7.79,Low,5.152
12.8,0.3,0.74,2.6,0.095,9.0,28.0,0.9994,3.2,0.77,10.8,7,205,0.023437499999999997,0.32142857142857145,0.24074074074074073,13.840000000000002,Low,8.316
12.8,0.3,0.74,2.6,0.095,9.0,28.0,0.9994,3.2,0.77,10.8,7,206,0.023437499999999997,0.32142857142857145,0.24074074074074073,13.840000000000002,Low,8.316
7.8,0.44,0.28,2.7,0.1,18.0,95.0,0.9966,3.22,0.67,9.4,5,208,0.05641025641025641,0.18947368421052632,0.2872340425531915,8.52,Low,6.298000000000001
9.7,0.53,0.6,2.0,0.039,5.0,19.0,0.99585,3.3,0.86,12.4,6,210,0.054639175257731966,0.2631578947368421,0.16129032258064516,10.829999999999998,Low,10.664
8.0,0.725,0.24,2.8,0.083,10.0,62.0,0.99685,3.35,0.56,10.0,6,211,0.090625,0.16129032258064516,0.27999999999999997,8.965,Low,5.6000000000000005
8.2,0.57,0.26,2.2,0.06,28.0,65.0,0.9959,3.3,0.43,10.1,5,213,0.06951219512195123,0.4307692307692308,0.21782178217821785,9.03,Low,4.343
7.8,0.735,0.08,2.4,0.092,10.0,41.0,0.9974,3.24,0.71,9.8,6,214,0.09423076923076923,0.24390243902439024,0.24489795918367344,8.615,Low,6.958
7.0,0.49,0.49,5.6,0.06,26.0,121.0,0.9974,3.34,0.76,10.5,5,215,0.06999999999999999,0.21487603305785125,0.5333333333333333,7.98,Low,7.98
8.7,0.625,0.16,2.0,0.1009999999999999,13.0,49.0,0.9962,3.14,0.57,11.0,5,216,0.07183908045977012,0.2653061224489796,0.18181818181818182,9.485,Low,6.27
